musica,artista,album,duracao_min,popularidade,uri
pagode,wet bed gang,filhos do rossi,3.62,40,spotify:track:0NTgh92IHKjOtYgLfKAz0D
honey (are u coming?),måneskin,rush!,2.79,71,spotify:track:5UHHuxxYFnuE5KBbpl4Hzu
amor de ganga,miguel luz,ganga com ganga,3.45,54,spotify:track:7IPUNxs3vUvunfEFxRTGzS
como seria,dino d'santiago,mundu nôbu,3.05,40,spotify:track:2wVtjY3hYUNo6hru52yZEM
pôr do sol,vizinhos,pôr do sol,2.68,64,spotify:track:2yMTUaAv55qoTD0JPLodIQ
space cadet (feat. gunna),metro boomin,not all heroes wear capes (deluxe),3.39,80,spotify:track:1fewSx2d5KIZ04wsooEBOz
how you remind me,nickelback,silver side up,3.73,88,spotify:track:0gmbgwZ8iqyMPmXefof8Yf
obeah me,notnice,street vybz 2.0 (750ml),2.47,47,spotify:track:1YSz0j9HvFHu1HNxlAvjKR
nice to meet you,myles smith,nice to meet you (mistletoe version),2.93,84,spotify:track:6eWAWHm0cuOaPGDWhoLJ7s
morto-vivo,eu.clides,morto-vivo,2.62,25,spotify:track:1sLBUupNhMJB3wKm0JgA8T
all my life (feat. j. cole),lil durk,almost healed,3.73,69,spotify:track:6T7FXSuXykeGktMLGp8WgE
pessoas normais,miguel luz,ganga com ganga,3.01,51,spotify:track:3n0xGh2PjRrOOfc8IkpnGb
heaven,bryan adams,reckless (30th anniversary / deluxe edition),4.06,85,spotify:track:7Ewz6bJ97vUqk5HdkvguFQ
10 freaky girls (with 21 savage),metro boomin,not all heroes wear capes (deluxe),3.47,76,spotify:track:0AluA5RNsa4Cx6XRhf2hWZ
drowning (feat. kodak black),a boogie wit da hoodie,the bigger artist,3.49,78,spotify:track:1f5cbQtDrykjarZVrShaDI
every breaking wave,u2,songs of innocence (deluxe),4.2,62,spotify:track:4z5eLUR8oCbRywMw1ytNol
todos olham,wet bed gang,filhos do rossi,3.8,32,spotify:track:1pSGo8o9ZwmtmPvZy9uwgE
numb / encore,jay-z,numb / encore: mtv ultimate mash-ups presents collision course,3.43,79,spotify:track:5sNESr6pQfIhL3krM8CtZn
too many nights (feat. don toliver & with future),metro boomin,heroes & villains,3.33,85,spotify:track:2Hh3ETdQKrmSI3QS0hme7g
laugh now cry later (feat. lil durk),drake,laugh now cry later (feat. lil durk),4.36,78,spotify:track:2SAqBLGA283SUiwJ3xOUVI
cordapele,slow j,afro fado,2.98,53,spotify:track:2Vhdvxsjs24nQLaUn6oWcp
doja,central cee,doja,1.62,81,spotify:track:3LtpKP5abr2qqjunvjlX5i
run,onerepublic,human (deluxe),2.8,76,spotify:track:6KL88T4Ma4ABXqzgUoEwkd
moxxxpirii,wet bed gang,moxxxpirii,3.06,58,spotify:track:3W1L721fuS3pRLrt973Ewc
champs-élysées (feat. deejay telio & julinho ksd),mizzy miles,fim do nada,3.35,50,spotify:track:5Q6EJ1mB6WlhN5wkEOydRx
livin' on a prayer,bon jovi,slippery when wet (deluxe edition),4.17,81,spotify:track:0ee1DiZF94NSqqpG0XHUzH
you give love a bad name,bon jovi,slippery when wet (deluxe edition),3.71,79,spotify:track:2TofEeQobQ9YoK7EFds698
procissão,diabo na cruz,lebre,4.26,25,spotify:track:3EBfelBL4ol7k1z0cgYrfe
cn tower,partynextdoor,$ome $exy $ongs 4 u,4.03,78,spotify:track:4u43I0LP2Xf85OAS85eG0R
álcool & prazer,deejay telio,reservado,4.4,58,spotify:track:6qAwPDEkGruLmGooPRL1Gb
in the modern world,fontaines d.c.,romance,4.45,67,spotify:track:3kQmcD1XU29nSMrS7kgsWm
